STATE,,YEAR,MONTH,MIN_TEMP,MAX_TEMP,RAINFALL,CLOUD_COVER,WET_DAY_FREQ,DIURNAL_TEMP,FLOOD OCCURRENCE,,,,,,,,,,,
BIHAR,PATNA,1992,JANUARY,8.067,22.456,20.727,22.672,1.5696,14.389,NO,,,,,,,,,,,
BIHAR,PATNA,1992,FEBRUARY,9.776,24.752,5.904,22.846,1,14.953,NO,,,,,,,,,,,
BIHAR,PATNA,1992,MARCH,17.734,34.124,1.126,29.132,0.9778,16.364,NO,,,,,,,,,,,
BIHAR,PATNA,1992,APRIL,22.842,38.889,4.345,25.191,1,16.021,NO,,,,,,,,,,,
BIHAR,PATNA,1992,MAY,24.716,39.157,8.737,34.006,1.5548,14.394,NO,,,,,,,,,,,
BIHAR,PATNA,1992,JUNE,27.115,37.999,33.17,58.664,3.6736,10.871,NO,,,,,,,,,,,
BIHAR,PATNA,1992,JULY,26.981,34.403,191.148,73.11,11.17,7.423,NO,,,,,,,,,,,
BIHAR,PATNA,1992,AUGUST,25.733,32.456,154.266,68.575,9.8425,6.721,NO,,,,,,,,,,,
BIHAR,PATNA,1992,SEPTEMBER,25.44,33.177,103.491,57.506,7.2156,7.725,NO,,,,,,,,,,,
BIHAR,PATNA,1992,OCTOBER,21.875,32.476,66.13,34.832,3.4364,10.598,NO,,,,,,,,,,,
BIHAR,PATNA,1992,NOVEMBER,15.592,29.46,0.875,20.209,0.5023,13.845,NO,,,,,,,,,,,
BIHAR,PATNA,1992,DECEMBER,10.132,24.75,0,22.926,0,14.62,NO,,,,,,,,,,,
BIHAR,PATNA,1993,JANUARY,10.31,24.721,10.156,22.672,1.0301,14.389,NO,,,,,,,,,,,
BIHAR,PATNA,1993,FEBRUARY,13.85,28.803,0.2,22.602,0.2,14.953,NO,,,,,,,,,,,
BIHAR,PATNA,1993,MARCH,16.233,32.62,10.422,29.132,1.2841,16.364,NO,,,,,,,,,,,
BIHAR,PATNA,1993,APRIL,21.817,37.861,4.268,25.191,1.002,16.021,NO,,,,,,,,,,,
BIHAR,PATNA,1993,MAY,26.417,40.812,24.864,34.144,2.3305,14.394,NO,,,,,,,,,,,
BIHAR,PATNA,1993,JUNE,28.39,39.262,37.736,58.715,4.0813,10.871,NO,,,,,,,,,,,
BIHAR,PATNA,1993,JULY,27.025,34.446,106.023,73.11,8.7065,7.423,NO,,,,,,,,,,,
BIHAR,PATNA,1993,AUGUST,25.536,32.257,183.069,68.575,11.8121,6.721,NO,,,,,,,,,,,
